




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	genes_gt10_unique.txt (Danio rerio)
Reference List:	Danio rerio (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Danio rerio - REFLIST (26248)	genes_gt10_unique.txt (300)	genes_gt10_unique.txt (expected)	genes_gt10_unique.txt (over/under)	genes_gt10_unique.txt (fold Enrichment)	genes_gt10_unique.txt (raw P-value)	genes_gt10_unique.txt (FDR)
system development (GO:0048731)	926	24	10.58	+	2.27	2.00E-04	8.11E-03
response to chemical (GO:0042221)	870	22	9.94	+	2.21	5.06E-04	1.69E-02
regulation of gene expression (GO:0010468)	3043	59	34.78	+	1.70	5.51E-05	2.97E-03
regulation of macromolecule biosynthetic process (GO:0010556)	3071	59	35.10	+	1.68	6.03E-05	3.10E-03
regulation of cellular biosynthetic process (GO:0031326)	3089	59	35.31	+	1.67	6.55E-05	3.21E-03
regulation of biosynthetic process (GO:0009889)	3100	59	35.43	+	1.67	9.35E-05	4.28E-03
regulation of DNA-templated transcription (GO:0006355)	2540	48	29.03	+	1.65	5.27E-04	1.73E-02
regulation of RNA biosynthetic process (GO:2001141)	2540	48	29.03	+	1.65	5.27E-04	1.71E-02
regulation of macromolecule metabolic process (GO:0060255)	3438	59	39.29	+	1.50	1.36E-03	3.98E-02
regulation of cellular metabolic process (GO:0031323)	3450	59	39.43	+	1.50	1.40E-03	4.03E-02
cellular process (GO:0009987)	10431	86	119.22	-	.72	6.64E-05	3.18E-03
transport (GO:0006810)	2099	8	23.99	-	.33	1.57E-04	6.46E-03
establishment of localization (GO:0051234)	2211	8	25.27	-	.32	5.98E-05	3.15E-03
cellular metabolic process (GO:0044237)	3584	10	40.96	-	.24	1.77E-09	1.86E-07
positive regulation of cellular process (GO:0048522)	1446	4	16.53	-	.24	3.20E-04	1.14E-02
heterocycle metabolic process (GO:0046483)	1259	2	14.39	-	.14	1.01E-04	4.45E-03
cellular aromatic compound metabolic process (GO:0006725)	1263	2	14.44	-	.14	1.03E-04	4.41E-03
organic cyclic compound metabolic process (GO:1901360)	1352	2	15.45	-	.13	3.27E-05	1.91E-03
cellular nitrogen compound metabolic process (GO:0034641)	1425	2	16.29	-	.12	1.56E-05	9.92E-04
cellular biosynthetic process (GO:0044249)	1700	2	19.43	-	.10	7.32E-07	5.50E-05
organic substance biosynthetic process (GO:1901576)	1761	2	20.13	-	.10	3.36E-07	2.83E-05
biosynthetic process (GO:0009058)	1766	2	20.18	-	.10	3.36E-07	2.94E-05
regulation of cell communication (GO:0010646)	927	1	10.60	-	.09	4.19E-04	1.47E-02
regulation of signaling (GO:0023051)	932	1	10.65	-	.09	4.22E-04	1.45E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	647	0	7.39	-	 < 0.01	1.05E-03	3.11E-02
positive regulation of macromolecule metabolic process (GO:0010604)	682	0	7.79	-	 < 0.01	7.10E-04	2.23E-02
nucleobase-containing compound metabolic process (GO:0006139)	1184	0	13.53	-	 < 0.01	1.74E-06	1.22E-04
nucleic acid metabolic process (GO:0090304)	909	0	10.39	-	 < 0.01	4.31E-05	2.45E-03
macromolecule biosynthetic process (GO:0009059)	1229	0	14.05	-	 < 0.01	1.22E-06	8.86E-05
regulation of signal transduction (GO:0009966)	792	0	9.05	-	 < 0.01	2.25E-04	8.76E-03
lipid metabolic process (GO:0006629)	604	0	6.90	-	 < 0.01	1.53E-03	4.30E-02
gene expression (GO:0010467)	950	0	10.86	-	 < 0.01	2.94E-05	1.77E-03
RNA metabolic process (GO:0016070)	634	0	7.25	-	 < 0.01	1.03E-03	3.10E-02
nervous system development (GO:0007399)	671	0	7.67	-	 < 0.01	6.95E-04	2.22E-02
positive regulation of metabolic process (GO:0009893)	778	0	8.89	-	 < 0.01	2.13E-04	8.48E-03
positive regulation of cellular metabolic process (GO:0031325)	698	0	7.98	-	 < 0.01	4.67E-04	1.58E-02
